Diario,Fecha,Asiento,Orden,Cuenta,Importe pesetas,Concepto,Documento,Importe DEBE en euros,Importe HABER en euros,Moneda,Punteo,Tipo de IVA,Código de IVA,Departamento,Subdepartamento,Archivo de imagen
,01/01/2023,,,,,Asiento Apertura,,499158,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,1875899,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,249579,,,,,,,,
,01/01/2023,,,,,Asiento Apertura ,,820614,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,20838,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,76019,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,98650,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,12080,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,159048,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,52345,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,60398,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,45299,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,56387,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,280089,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,241588,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,37742,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,39934,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,58385,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,42279,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,425605,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,108716,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,36238,,,,,,,,
,01/01/2023,,,,,Asiento Apertura ,,249646,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,60398,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,116770,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,72486,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,44292,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,48319,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,60398,,,,,,,,
,01/01/2023,,,,,Asiento Apertura ,,80525,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,235552,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,56370,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,48319,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,95630,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,33273,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,24159,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,96638,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,354335,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,40265,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,54358,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,70464,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,155890,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,81320,,,,,,,,
,01/01/2023,,,,,Asiento Apertura ,,1094218,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,218133,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,379745,,,,,,,,
,01/01/2023,,,,,Asiento Apertura,,3949,,,,,,,,
,01/01/2023,,,1000000000,,Asiento Apertura,,,1000000000,,,,,,,
,01/01/2023,,,1120000000,,Asiento Apertura,,,1120000000,,,,,,,
,01/01/2023,,,1130000000,,Asiento Apertura,,,1130000000,,,,,,,
,01/01/2023,,,1290002022,,Asiento Apertura ,,,1290002022,,,,,,,
,01/01/2023,,,1740000010,,Asiento Apertura ,,,1740000010,,,,,,,
,01/01/2023,,,2280000009,,Asiento Apertura,,,2280000009,,,,,,,
,01/01/2023,,,2280000010,,Asiento Apertura,,,2280000010,,,,,,,
,01/01/2023,,,4000000101,,Asiento Apertura,,,4000000101,,,,,,,
,01/01/2023,,,4000000102,,Asiento Apertura,,,4000000102,,,,,,,
,01/01/2023,,,4000000103,,Asiento Apertura,,,4000000103,,,,,,,
,01/01/2023,,,4000000108,,Asiento Apertura,,,4000000108,,,,,,,
,01/01/2023,,,4000000120,,Asiento Apertura,,,4000000120,,,,,,,
,01/01/2023,,,4000000157,,Asiento Apertura,,,4000000157,,,,,,,
,01/01/2023,,,4000000158,,Asiento Apertura,,,4000000158,,,,,,,
,01/01/2023,,,4000000179,,Asiento Apertura,,,4000000179,,,,,,,
,01/01/2023,,,4000000242,,Asiento Apertura,,,4000000242,,,,,,,
,01/01/2023,,,4100000244,,Asiento Apertura,,,4100000244,,,,,,,
,01/01/2023,,,4100000254,,Asiento Apertura,,,4100000254,,,,,,,
,01/01/2023,,,4100000511,,Asiento Apertura,,,4100000511,,,,,,,
,01/01/2023,,,4300004896,,Asiento Apertura,,,4300004896,,,,,,,
,01/01/2023,,,4650000002,,Asiento Apertura ,,,4650000002,,,,,,,
,01/01/2023,,,4650000004,,Asiento Apertura,,,4650000004,,,,,,,
,01/01/2023,,,4650000006,,Asiento Apertura ,,,4650000006,,,,,,,
,01/01/2023,,,5240000010,,Asiento Apertura ,,,5240000010,,,,,,,
,01/01/2023,,,4750000000,,Asiento Apertura,,,4750000000,,,,,,,
,01/01/2023,,,4751000004,,Asiento Apertura,,,4751000004,,,,,,,
,01/01/2023,,,4751000005,,Asiento Apertura,,,4751000005,,,,,,,
,01/01/2023,,,4751000006,,Asiento Apertura,,,4751000006,,,,,,,
,01/01/2023,,,4751000100,,Asiento Apertura,,,4751000100,,,,,,,
,01/01/2023,,,4752000000,,Asiento Apertura ,,,4752000000,,,,,,,
,01/01/2023,,,4760000000,,Asiento Apertura ,,,4760000000,,,,,,,
,01/01/2023,,,5550000006,,Asiento Apertura,,,5550000006,,,,,,,
,01/01/2023,,,,,Deuda a corto plazo ,,483539,,,,,,,,
,01/01/2023,,,4100000229,,Deuda a corto plazo ,,,4100000229,,,,,,,
,01/01/2023,,,,,SU FRA. N� - 0508,,10000,,,,,,,,
,01/01/2023,,,4100000016,,SU FRA. N� - 0508,,,4100000016,,,,,,,
,01/01/2023,,,,,SU FRA. N� - 102722,,41763,,,,,,,,
,01/01/2023,,,,,SU FRA. N� - 102722,,8770,,,,,,,,
,01/01/2023,,,4100000002,,SU FRA. N� - 102722,,,4100000002,,,,,,,
,01/01/2023,,,,,SU FRA. N� - 066444,,1697,,,,,,,,
,01/01/2023,,,,,SU FRA. N� - 066444,,356,,,,,,,,
,01/01/2023,,,4100000003,,SU FRA. N� - 066444,,,4100000003,,,,,,,
,01/01/2023,,,,,APLICAR PAGO DUPLICADO ,,42279,,,,,,,,
,01/01/2023,,,5550000000,,APLICAR PAGO DUPLICADO ,,,5550000000,,,,,,,
,02/01/2023,,,7050000000,,Venta N� 1,,,7050000000,,,,,,,
,02/01/2023,,,4770000021,,Venta N� 1,,,4770000021,,,,,,,
,02/01/2023,,,,,Venta N� 1,,30199,,,,,,,,
,02/01/2023,,,7050000000,,Venta N� 2,,,7050000000,,,,,,,
,02/01/2023,,,4770000021,,Venta N� 2,,,4770000021,,,,,,,
,02/01/2023,,,,,Venta N� 2,,90598,,,,,,,,
,02/01/2023,,,7050000000,,Venta N� 3,,,7050000000,,,,,,,
,02/01/2023,,,4770000021,,Venta N� 3,,,4770000021,,,,,,,
,02/01/2023,,,,,Venta N� 3,,32213,,,,,,,,
,02/01/2023,,,7050000000,,Venta N� 4,,,7050000000,,,,,,,
,02/01/2023,,,4770000021,,Venta N� 4,,,4770000021,,,,,,,
,02/01/2023,,,,,Venta N� 4,,80530,,,,,,,,
,02/01/2023,,,7050000000,,Venta N� 5,,,7050000000,,,,,,,
,02/01/2023,,,4770000021,,Venta N� 5,,,4770000021,,,,,,,
,02/01/2023,,,,,Venta N� 5,,19965,,,,,,,,
,02/01/2023,,,7050000000,,Venta N� 6,,,7050000000,,,,,,,
,02/01/2023,,,4770000021,,Venta N� 6,,,4770000021,,,,,,,
