Diario;;;;;;;;;;;
Asiento;Fecha;CuentaD;ImporteD;CuentaH;ImporteH;Concepto;Punteo;ImporteDE;ImporteHE;FactorC;Tipo
1000;01/01/2023;2180000009;499158;;0;Asiento Apertura;;3000;0;166,386;
1001;01/01/2023;2180000010;1875899;;0;Asiento Apertura;;11274,38;0;166,386;
1002;01/01/2023;2180000011;249579;;0;Asiento Apertura;;1500;0;166,386;
1003;01/01/2023;3000000000;820614;;0;Asiento Apertura ;;4932;0;166,386;
1004;01/01/2023;4300000001;20838;;0;Asiento Apertura;;125,3;0;166,386;
1005;01/01/2023;4300000031;76019;;0;Asiento Apertura;;456,92;0;166,386;
1006;01/01/2023;4300000495;98650;;0;Asiento Apertura;;592,9;0;166,386;
1007;01/01/2023;4300000561;12080;;0;Asiento Apertura;;72,6;0;166,386;
1008;01/01/2023;4300000663;159048;;0;Asiento Apertura;;955,9;0;166,386;
1009;01/01/2023;4300002058;52345;;0;Asiento Apertura;;314,6;0;166,386;
1010;01/01/2023;4300002268;60398;;0;Asiento Apertura;;363;0;166,386;
1011;01/01/2023;4300002283;45299;;0;Asiento Apertura;;272,25;0;166,386;
1012;01/01/2023;4300002746;56387;;0;Asiento Apertura;;338,8;0;166,386;
1013;01/01/2023;4300002762;280089;;0;Asiento Apertura;;1683,36;0;166,386;
1014;01/01/2023;4300002765;241588;;0;Asiento Apertura;;1452;0;166,386;
1015;01/01/2023;4300003284;37742;;0;Asiento Apertura;;226,88;0;166,386;
1016;01/01/2023;4300003503;39934;;0;Asiento Apertura;;240;0;166,386;
1017;01/01/2023;4300003834;58385;;0;Asiento Apertura;;350,9;0;166,386;
1018;01/01/2023;4300003977;42279;;0;Asiento Apertura;;254,1;0;166,386;
1019;01/01/2023;4300003987;425605;;0;Asiento Apertura;;2557,94;0;166,386;
1020;01/01/2023;4300004439;108716;;0;Asiento Apertura;;653,4;0;166,386;
1021;01/01/2023;4300004671;36238;;0;Asiento Apertura;;217,8;0;166,386;
1022;01/01/2023;4300004800;249646;;0;Asiento Apertura ;;1500,4;0;166,386;
1023;01/01/2023;4300004917;60398;;0;Asiento Apertura;;363;0;166,386;
1024;01/01/2023;4300004922;116770;;0;Asiento Apertura;;701,8;0;166,386;
1025;01/01/2023;4300004963;72486;;0;Asiento Apertura;;435,6;0;166,386;
1026;01/01/2023;4300004989;44292;;0;Asiento Apertura;;266,2;0;166,386;
1027;01/01/2023;4300004996;48319;;0;Asiento Apertura;;290,4;0;166,386;
1028;01/01/2023;4300004999;60398;;0;Asiento Apertura;;363;0;166,386;
1029;01/01/2023;4300005034;80525;;0;Asiento Apertura ;;484;0;166,386;
1030;01/01/2023;4300005048;235552;;0;Asiento Apertura;;1415,7;0;166,386;
1031;01/01/2023;4300005100;56370;;0;Asiento Apertura;;338,8;0;166,386;
1032;01/01/2023;4300005238;48319;;0;Asiento Apertura;;290,4;0;166,386;
1033;01/01/2023;4300005265;95630;;0;Asiento Apertura;;574,75;0;166,386;
1034;01/01/2023;4300005468;33273;;0;Asiento Apertura;;200;0;166,386;
1035;01/01/2023;4300005561;24159;;0;Asiento Apertura;;145,2;0;166,386;
1036;01/01/2023;4300005667;96638;;0;Asiento Apertura;;580,8;0;166,386;
1037;01/01/2023;4300005748;354335;;0;Asiento Apertura;;2129,6;0;166,386;
1038;01/01/2023;4300005773;40265;;0;Asiento Apertura;;242;0;166,386;
1039;01/01/2023;4300005800;54358;;0;Asiento Apertura;;326,7;0;166,386;
1040;01/01/2023;4300005802;70464;;0;Asiento Apertura;;423,5;0;166,386;
1041;01/01/2023;4310000000;155890;;0;Asiento Apertura;;936,92;0;166,386;
1042;01/01/2023;4780000003;81320;;0;Asiento Apertura;;488,77;0;166,386;
1043;01/01/2023;5700000000;1094218;;0;Asiento Apertura ;;6576,38;0;166,386;
1044;01/01/2023;5720000001;218133;;0;Asiento Apertura;;1311,36;0;166,386;
1045;01/01/2023;5720000002;379745;;0;Asiento Apertura;;2282,27;0;166,386;
1046;01/01/2023;5720000010;3949;;0;Asiento Apertura;;23,72;0;166,386;
1047;01/01/2023;;0;1000000000;998316;Asiento Apertura;;0;6000;166,386;
1048;01/01/2023;;0;1120000000;184174;Asiento Apertura;;0;1106,91;166,386;
1049;01/01/2023;;0;1130000000;2388092;Asiento Apertura;;0;14352,72;166,386;
1050;01/01/2023;;0;1290002022;722510;Asiento Apertura ;;0;4342,37;166,386;
1051;01/01/2023;;0;1740000010;811205;Asiento Apertura ;;0;4875,44;166,386;
1052;01/01/2023;;0;2280000009;332772;Asiento Apertura;;0;2000;166,386;
1053;01/01/2023;;0;2280000010;375184;Asiento Apertura;;0;2254,9;166,386;
1054;01/01/2023;;0;4000000101;99635;Asiento Apertura;;0;598,8;166,386;
1055;01/01/2023;;0;4000000102;146107;Asiento Apertura;;0;878,16;166,386;
1056;01/01/2023;;0;4000000103;40765;Asiento Apertura;;0;245,03;166,386;
1057;01/01/2023;;0;4000000108;125125;Asiento Apertura;;0;752,02;166,386;
1058;01/01/2023;;0;4000000120;99657;Asiento Apertura;;0;598,95;166,386;
1059;01/01/2023;;0;4000000157;4109;Asiento Apertura;;0;24,68;166,386;
1060;01/01/2023;;0;4000000158;202976;Asiento Apertura;;0;1219,92;166,386;
1061;01/01/2023;;0;4000000179;47162;Asiento Apertura;;0;283,43;166,386;
1062;01/01/2023;;0;4000000242;60962;Asiento Apertura;;0;366,4;166,386;
1063;01/01/2023;;0;4100000244;24159;Asiento Apertura;;0;145,2;166,386;
1064;01/01/2023;;0;4100000254;51074;Asiento Apertura;;0;306,96;166,386;
1065;01/01/2023;;0;4100000511;41596;Asiento Apertura;;0;250;166,386;
1066;01/01/2023;;0;4300004896;42279;Asiento Apertura;;0;254,1;166,386;
1067;01/01/2023;;0;4650000002;105678;Asiento Apertura ;;0;635,14;166,386;
1068;01/01/2023;;0;4650000004;176558;Asiento Apertura;;0;1061,21;166,386;
1069;01/01/2023;;0;4650000006;141166;Asiento Apertura ;;0;848,42;166,386;
1070;01/01/2023;;0;5240000010;383462;Asiento Apertura ;;0;2906,13;166,386;
1071;01/01/2023;;0;4750000000;681819;Asiento Apertura;;0;3496,72;166,386;
1072;01/01/2023;;0;4751000004;58311;Asiento Apertura;;0;350,43;166,386;
1073;01/01/2023;;0;4751000005;31413;Asiento Apertura;;0;188,82;166,386;
1074;01/01/2023;;0;4751000006;17773;Asiento Apertura;;0;106,77;166,386;
1075;01/01/2023;;0;4751000100;47424;Asiento Apertura;;0;285;166,386;
1076;01/01/2023;;0;4752000000;183089;Asiento Apertura ;;0;1100,39;166,386;
1077;01/01/2023;;0;4760000000;352475;Asiento Apertura ;;0;2118,42;166,386;
1078;01/01/2023;;0;5550000006;95315;Asiento Apertura;;0;572,86;166,386;
2000;01/01/2023;5240000010;483539;4100000229;483539;Deuda a corto plazo ;;60,1;2906,13;166,386;
3000;01/01/2023;6230000001;10000;;0;SU FRA. N� - 0508;;0;0;166,386;
3001;01/01/2023;;0;4100000016;10000;SU FRA. N� - 0508;;251;60,1;166,386;
4000;01/01/2023;6290000001;41763;;0;SU FRA. N� - 102722;;52,71;0;166,386;
4001;01/01/2023;4720000021;8770;;0;SU FRA. N� - 102722;;0;0;166,386;
4002;01/01/2023;;0;4100000002;50533;SU FRA. N� - 102722;;10,2;303,71;166,386;
5000;01/01/2023;6290000001;1697;;0;SU FRA. N� - 066444;;2,14;0;166,386;
5001;01/01/2023;4720000021;356;;0;SU FRA. N� - 066444;;0;0;166,386;
5002;01/01/2023;;0;4100000003;2053;SU FRA. N� - 066444;;254,1;12,34;166,386;
6000;01/01/2023;4300004896;42279;5550000000;42279;APLICAR PAGO DUPLICADO ;;0;254,1;166,386;
